"","Persoonskenmerken","Marges","Perioden","Ervaren.gezondheid.Goed.of.zeer.goed....","Mental.Health.Inventory..MHI.5..12..plus.Angst..of.depressiegevoelens..afg.4.wk.....","Mondgezondheid.Mondgezondheid..12.jaar.of.ouder..Goed.of.zeer.goed....","Beperkingen.Personen.met.GALI.beperking..4.of.ouder.GALI.beperking....","Beperkingen.Personen.met.GALI.beperking..4.of.ouder.GALI.beperking..ernstig....","Beperkingen.Personen.met.GALI.beperking..4.of.ouder.GALI.beperking..niet.ernstig....","Medische.contacten.Contact.met.huisarts.Personen.met.minimaal.1.contact....","Medische.contacten.Contact.met.fysio..en.oefentherapeut.Personen.met.minimaal.1.contact...."
"1","Totaal personen","Waarde",2024,76.6,"    43.7","    73.4","    31.7","     5.8","    25.9",67,26.6
"2","Geslacht: Mannen","Waarde",2024,78.7,"    38.3","    70.9","    28.3","     4.9","    23.4",62.2,22.5
"3","Geslacht: Vrouwen","Waarde",2024,74.5,"    49.0","    75.9","    35.1","     6.7","    28.4",71.7,30.7
"4","Leeftijd: 0 tot 4 jaar","Waarde",2024,95.3,"       .","       .","       .","       .","       .",67.4,6.9
"5","Leeftijd: 4 tot 12 jaar","Waarde",2024,93.6,"       .","       .","     8.8","     0.7","     8.1",57.7,8.6
"6","Leeftijd: 12 tot 16 jaar","Waarde",2024,92.4,"    31.6","    85.5","    12.0","     1.3","    10.8",47.2,14
"7","Leeftijd: 16 tot 20 jaar","Waarde",2024,88.1,"    51.6","    81.2","    14.5","     1.2","    13.3",58.2,20
"8","Leeftijd: 20 tot 30 jaar","Waarde",2024,83.9,"    51.9","    76.4","    19.4","     2.2","    17.2",65.8,22.7
"9","Leeftijd: 30 tot 40 jaar","Waarde",2024,80.9,"    47.5","    74.9","    23.9","     4.4","    19.6",63.7,26
"10","Leeftijd: 40 tot 50 jaar","Waarde",2024,76,"    44.5","    72.9","    29.7","     5.5","    24.1",67.3,30.5
"11","Leeftijd: 50 tot 55 jaar","Waarde",2024,70.2,"    43.7","    67.4","    35.6","    10.1","    25.5",65.7,34.8
"12","Leeftijd: 55 tot 65 jaar","Waarde",2024,66.5,"    39.4","    70.9","    43.8","     9.8","    34.0",72.5,32.6
"13","Leeftijd: 65 tot 75 jaar","Waarde",2024,64.7,"    36.1","    70.2","    50.2","     8.2","    41.9",73.9,32.9
"14","Leeftijd: 75 jaar of ouder","Waarde",2024,58.4,"    43.0","    70.1","    58.9","    10.6","    48.3",79.5,38.9
"15","Basisonderwijs, vmbo, mbo1","Waarde",2024,57.1,"    48.6","    63.5","    52.1","    11.7","    40.4",72.3,31.2
"16","Havo, vwo, mbo2-4","Waarde",2024,71.5,"    40.4","    71.2","    38.0","     7.2","    30.8",69.8,31.9
"17","Hbo, wo","Waarde",2024,80.7,"    41.8","    77.5","    28.7","     4.5","    24.2",69.5,31.8
