"","Persoonskenmerken","Marges","Perioden","Ervaren.gezondheid.Goed.of.zeer.goed....","Mental.Health.Inventory..MHI.5..12..plus.Angst..of.depressiegevoelens..afg.4.wk.....","Mondgezondheid.Mondgezondheid..12.jaar.of.ouder..Goed.of.zeer.goed....","Beperkingen.Personen.met.GALI.beperking..4.of.ouder.GALI.beperking....","Beperkingen.Personen.met.GALI.beperking..4.of.ouder.GALI.beperking..ernstig....","Beperkingen.Personen.met.GALI.beperking..4.of.ouder.GALI.beperking..niet.ernstig....","Medische.contacten.Contact.met.huisarts.Personen.met.minimaal.1.contact....","Medische.contacten.Contact.met.fysio..en.oefentherapeut.Personen.met.minimaal.1.contact...."
"1","Totaal personen","Waarde",2023,77.5,"    42.4","    72.3","    30.4","     5.6","    24.8",66.6,28.1
"2","Geslacht: Mannen","Waarde",2023,79.9,"    36.5","    70.3","    26.5","     4.7","    21.8",61.3,25.1
"3","Geslacht: Vrouwen","Waarde",2023,75.1,"    48.2","    74.2","    34.2","     6.5","    27.7",71.9,31.1
"4","Leeftijd: 0 tot 4 jaar","Waarde",2023,96.8,"       .","       .","       .","       .","       .",71.4,9.6
"5","Leeftijd: 4 tot 12 jaar","Waarde",2023,97.3,"       .","       .","     8.7","     0.9","     7.7",55.3,9.7
"6","Leeftijd: 12 tot 16 jaar","Waarde",2023,93.2,"    32.7","    87.9","     9.4","     1.4","     8.0",47.4,16.6
"7","Leeftijd: 16 tot 20 jaar","Waarde",2023,86.7,"    43.3","    81.4","    15.4","     1.6","    13.9",59.6,22.1
"8","Leeftijd: 20 tot 30 jaar","Waarde",2023,82.2,"    54.4","    75.7","    18.7","     1.5","    17.2",64.9,24.1
"9","Leeftijd: 30 tot 40 jaar","Waarde",2023,81.9,"    45.3","    75.5","    21.8","     3.5","    18.3",63.4,28.1
"10","Leeftijd: 40 tot 50 jaar","Waarde",2023,76.9,"    41.7","    71.8","    30.1","     4.9","    25.2",65.6,31.3
"11","Leeftijd: 50 tot 55 jaar","Waarde",2023,70.5,"    44.1","    70.0","    34.6","     8.2","    26.4",69.8,38.5
"12","Leeftijd: 55 tot 65 jaar","Waarde",2023,67.6,"    38.2","    68.2","    41.5","     9.6","    31.9",70.5,34.2
"13","Leeftijd: 65 tot 75 jaar","Waarde",2023,67.5,"    34.1","    66.2","    48.6","     8.3","    40.3",73.1,35.6
"14","Leeftijd: 75 jaar of ouder","Waarde",2023,58.9,"    41.3","    66.3","    55.8","    12.6","    43.2",80.6,37.1
"15","Basisonderwijs, vmbo, mbo1","Waarde",2023,58.2,"    47.3","    63.6","    50.4","    13.2","    37.2",74.1,32.1
"16","Havo, vwo, mbo2-4","Waarde",2023,73.3,"    39.2","    69.3","    35.1","     6.1","    29.0",70.4,34.4
"17","Hbo, wo","Waarde",2023,80.7,"    40.1","    75.9","    28.1","     3.8","    24.3",65.7,32.2
