"","Persoonskenmerken","Marges","Perioden","Ervaren.gezondheid.Goed.of.zeer.goed....","Mental.Health.Inventory..MHI.5..12..plus.Angst..of.depressiegevoelens..afg.4.wk.....","Mondgezondheid.Mondgezondheid..12.jaar.of.ouder..Goed.of.zeer.goed....","Beperkingen.Personen.met.GALI.beperking..4.of.ouder.GALI.beperking....","Beperkingen.Personen.met.GALI.beperking..4.of.ouder.GALI.beperking..ernstig....","Beperkingen.Personen.met.GALI.beperking..4.of.ouder.GALI.beperking..niet.ernstig....","Medische.contacten.Contact.met.huisarts.Personen.met.minimaal.1.contact....","Medische.contacten.Contact.met.fysio..en.oefentherapeut.Personen.met.minimaal.1.contact...."
"1","Totaal personen","Waarde",2022,77.2,"    44.0","    71.2","    29.9","     5.8","    24.0",64.9,27.1
"2","Geslacht: Mannen","Waarde",2022,79.2,"    38.4","    69.5","    27.1","     5.3","    21.9",60.5,23.8
"3","Geslacht: Vrouwen","Waarde",2022,75.2,"    49.6","    72.9","    32.5","     6.3","    26.2",69.1,30.3
"4","Leeftijd: 0 tot 4 jaar","Waarde",2022,96.7,"       .","       .","       .","       .","       .",72.5,8.9
"5","Leeftijd: 4 tot 12 jaar","Waarde",2022,97.2,"       .","       .","     7.9","     1.2","     6.7",52.3,7.3
"6","Leeftijd: 12 tot 16 jaar","Waarde",2022,92.2,"    37.0","    86.0","    11.0","     0.8","    10.2",51.6,13.2
"7","Leeftijd: 16 tot 20 jaar","Waarde",2022,85.7,"    50.3","    81.4","    13.6","     1.8","    11.8",59.5,19.3
"8","Leeftijd: 20 tot 30 jaar","Waarde",2022,80.5,"    55.0","    73.4","    18.3","     2.8","    15.4",63.2,24.1
"9","Leeftijd: 30 tot 40 jaar","Waarde",2022,82.1,"    47.2","    74.2","    21.6","     3.8","    17.8",63.5,27.7
"10","Leeftijd: 40 tot 50 jaar","Waarde",2022,77,"    44.6","    70.7","    28.9","     5.8","    23.1",63.7,33.1
"11","Leeftijd: 50 tot 55 jaar","Waarde",2022,73,"    40.9","    67.0","    33.4","     6.1","    27.3",66.5,35.2
"12","Leeftijd: 55 tot 65 jaar","Waarde",2022,68.5,"    40.9","    64.5","    41.1","    10.5","    30.5",68.6,32.8
"13","Leeftijd: 65 tot 75 jaar","Waarde",2022,66.5,"    34.3","    68.6","    46.1","     7.5","    38.5",68.9,35.1
"14","Leeftijd: 75 jaar of ouder","Waarde",2022,55.6,"    42.8","    68.9","    59.2","    12.7","    46.5",77,34.5
"15","Basisonderwijs, vmbo, mbo1","Waarde",2022,58.4,"    48.5","    63.4","    49.1","    11.4","    37.7",72.5,30.3
"16","Havo, vwo, mbo2-4","Waarde",2022,73.4,"    40.0","    69.0","    36.7","     8.0","    28.7",68.5,33.5
"17","Hbo, wo","Waarde",2022,81.4,"    41.3","    75.2","    25.4","     3.4","    22.0",62.8,32.5
